especes;LON;LAT
Mobula mobular ;4.053783;43.313578
Mobula mobular ;12.560772;34.463186
Mobula mobular ;4.168311;43.263792
Mobula mobular ;6.788664;43.2928
Mobula mobular ;8.84528;41.66694
Mobula mobular ;8.152222;41.716667
Mobula mobular ;8.62833;42.43722
Mobula mobular ;6.85694;43.08861
Mobula mobular ;7.30139;43.55056
Mobula mobular ;7.3475;43.7025
Mobula mobular ;7.06753611;43.5456611
Mobula mobular ;3.166667;40.333333
Mobula mobular ;7.058103;43.511467
Mobula mobular ;6.121281;43.017489
Mobula mobular ;7.5;43.72722
Mobula mobular ;8.71083;41.85833
Mobula mobular ;6.55278;43.1275
Mobula mobular ;6.396744;42.977625
Mobula mobular ;5.32333;43.27972
Mobula mobular ;8.76917;42.59167
Mobula mobular ;5.5725;43.16194
Mobula mobular ;3.98056;43.51278
Mobula mobular ;5.536881;43.2059
Mobula mobular ;3.945244;43.475508
Mobula mobular ;5.686369;42.267503
Mobula mobular ;3.179728;42.652169
Mobula mobular ;8.647778;41.744444
Mobula mobular ;3.102392;39.985908
Mobula mobular ;6.45025;42.970475
Mobula mobular ;7.27283;43.66464
Mobula mobular ;7.33935;43.68038
Mobula mobular ;7.324342;41.726853
Mobula mobular ;8.735961;41.859222
Mobula mobular ;7.138889;43.602778
Mobula mobular ;8.735961;41.859222
Mobula mobular ;7.5273138;43.75651
Mobula mobular ;7.3775;43.7067
Mobula mobular ;7.21997;43.65177
Mobula mobular ;7.68167;43.87194
Mobula mobular ;6.98611;43.51833
Mobula mobular ;5.23408;43.1974
Mobula mobular ;5.87556;42.80306
Mobula mobular ;5.69261;43.14213
Mobula mobular ;5.616449;43.1640944
Mobula mobular ;7.34577;43.69408
Mobula mobular ;8.796586;41.69564
Mobula mobular ;6.9917;43.5196
Mobula mobular ;7.2842722;43.6912278
Mobula mobular ;3.53361;42.82056
Mobula mobular ;3.50278;42.40056
Mobula mobular ;7.5328777;43.7653194
Mobula mobular ;6.72655;43.3562528
Mobula mobular ;7;43.27583
Mobula mobular ;7.34410555;43.6925833
Mobula mobular ;8.545825;42.2657583
Mobula mobular ;3.34722;41.21556
Mobula mobular ;7.42519444;43.7280917
Mobula mobular ;8.64544;42.28223
Mobula mobular ;7.2333972;43.6714611
Mobula mobular ;6.18537;43.01815
Mobula mobular ;7.36113;43.70128
Mobula mobular ;7.2633972;43.69375
Mobula mobular ;3.4161888;42.6439944
Mobula mobular ;3.1491166;42.5154056
Mobula mobular ;7.434672;43.7348
Mobula mobular ;5.95;42.75
Mobula mobular ;5.95;42.76667
Mobula mobular ;5.96667;42.73333
Mobula mobular ;5.95;42.98333
Mobula mobular ;7.5096444;43.7784889
Mobula mobular ;7.518563;43.7798
Mobula mobular ;8.6896055;42.0358556
Mobula mobular ;7.4975388;43.7444833
Mobula mobular ;6.5452667;43.1462
Mobula mobular ;7.5252111;43.781563
Mobula mobular ;6.5335;42.7742667
Mobula mobular ;6.73831667;43.36175
Mobula mobular ;6.76244;43.741423
Mobula mobular ;8.54361;42.26806
Mobula mobular ;6.6856027;43.3037694
Mobula mobular ;5.6443388;43.13672
Mobula mobular ;8.10294;42.9373
Mobula mobular ;10.2261;41.47
Mobula mobular ;3.05966;40.608
Mobula mobular ;10.2261;41.64216
Mobula mobular ;8.29216;41.726
Mobula mobular ;7.72383;43.3231
Mobula mobular ;5.483666;42.8301
Mobula mobular ;3.870333;42.5268
Mobula mobular ;9.45033;42.696
Mobula mobular ;7.65;43.4
Mobula mobular ;7.1264;43.5376
Mobula mobular ;6.06027;43.053
Mobula mobular ;3.48682;42.4579
Mobula mobular ;6.43396;43.05324
Mobula mobular ;3.3375;42.678
Mobula mobular ;6.06722;43.002
Mobula mobular ;6.2103;43.0025
Mobula mobular ;6.3;43.146
Mobula mobular ;7.5;43.45
Mobula mobular ;3.046275;42.969541
Mobula mobular ;7.8911;43.6241
Mobula mobular ;8.7725;42.7488
Mobula mobular ;6.85682;43.4095
Mobula mobular ;7.3043918;43.6822518
Mobula mobular ;6.0249;43.0235
Mobula mobular ;7.1861;43.6044
Mobula mobular ;5.41423;43.1925
Mobula mobular ;6.01836;43.087
Mobula mobular ;6.89664;43.4254
Mobula mobular ;6.27861;42.999
Mobula mobular ;9.49388;42.8589
Mobula mobular ;7.68;43.5448
Mobula mobular ;9.40886;41.774
Mobula mobular ;8.75013;41.8396
Mobula mobular ;8.63916;42.4191
Mobula mobular ;8.22083;42.4511
Mobula mobular ;7.3119;43.4667
Mobula mobular ;7.89526;42.1105
Mobula mobular ;5.6985851;42.8102244
Mobula mobular ;5.666;42.94
Mobula mobular ;7.28228;42.8498
Mobula mobular ;6.00286;42.8093
Mobula mobular ;5.765;42.9202
Mobula mobular ;8.791719;41.886669
Mobula mobular ;1.21277;39.706249
Mobula mobular ;6.366054;43.049764
Mobula mobular ;6.556905;43.169657
Mobula mobular ;20.21595;39.10574
Mobula mobular ;6.14;42.59
Mobula mobular ;5.77984;42.9589
Mobula mobular ;5.77989;42.93753
Mobula mobular ;5.71544;42.85248
Mobula mobular ;5.75825;42.94065
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;6.040215343;42.7278621
Mobula mobular ;6.643649004;42.6396209
Mobula mobular ;6.786845606;42.69884944
Mobula mobular ;6.665788377;42.83151494
Mobula mobular ;7.328776466;43.1380416
Mobula mobular ;7.248849068;43.1137355
Mobula mobular ;7.189466385;43.06919667
Mobula mobular ;5.695809312;42.92136861
Mobula mobular ;5.93846214;42.95759829
Mobula mobular ;8.78145;42.57134
Mobula mobular ;11.111909;36.833534
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.80183;42.63938
Mobula mobular ;8.48315109;41.84562976
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;6.060747653;42.80491987
Mobula mobular ;6.694785403;42.99158125
Mobula mobular ;6.8677158;42.9189529
Mobula mobular ;6.652319;42.542383
Mobula mobular ;6.135463854;42.73927247
Mobula mobular ;7.570336126;43.5367979
Mobula mobular ;7.256207792;43.06038436
Mobula mobular ;8.77333;41.9155
Mobula mobular ;7.30985;43.6807
Mobula mobular ;6.3832;43.1117
Mobula mobular ;6.1166;42.8825
Mobula mobular ;7.46557;42.81908
Mobula mobular ;6.393194;42.98818
Mobula mobular ;8.434397;42.027392
Mobula mobular ;6.672866;43.313084
Mobula mobular ;7.17777;42.6388
Mobula mobular ;6.2736;42.876
Mobula mobular ;8.00031;42.0647
Mobula mobular ;6.47813;43.1534
Mobula mobular ;8.6997;42.562
Mobula mobular ;7.295022;43.683542
Mobula mobular ;7.294593;43.685032
Mobula mobular ;6.202929;43.03253
Mobula mobular ;7.368782;43.698056
Mobula mobular ;8.683372;41.775445
Mobula mobular ;3.2435;42.3521
Mobula mobular ;7.22507;43.65276
Mobula mobular ;7.987208;43.2856
Mobula mobular ;7.722;43.2333
Mobula mobular ;10.085972;42.760954
Mobula mobular ;7.30111;43.6664
Mobula mobular ;7.0803;43.519669
Mobula mobular ;7.332872;43.665892
Mobula mobular ;3.5336;42.411
Mobula mobular ;6.616804032;42.57373433
Mobula mobular ;6.550512565;42.59743516
Mobula mobular ;6.50865485;42.52664488
Mobula mobular ;6.52773357;42.50933034
Mobula mobular ;6.300382409;42.87069485
Mobula mobular ;6.259736633;42.69173556
Mobula mobular ;5.93846214;42.95759829
Mobula mobular ;5.695809312;42.92136861
Mobula mobular ;7.189466385;43.06919667
Mobula mobular ;7.248849068;43.1137355
Mobula mobular ;7.328776466;43.1380416
Mobula mobular ;6.665788377;42.83151494
Mobula mobular ;6.300382409;42.87069485
Mobula mobular ;6.259736633;42.69173556
Mobula mobular ;6.50865485;42.52664488
Mobula mobular ;6.52773357;42.50933034
Mobula mobular ;6.786845606;42.69884944
Mobula mobular ;6.643649004;42.6396209
Mobula mobular ;6.040215343;42.7278621
Mobula mobular ;7.397527099;43.29668504
Mobula mobular ;7.347184047;43.12870827
Mobula mobular ;5.956682721;42.40109746
Mobula mobular ;6.823537722;43.06043737
Mobula mobular ;6.253709374;42.63555132
Mobula mobular ;7.570336126;43.5367979
Mobula mobular ;7.256207792;43.06038436
Mobula mobular ;6.060747653;42.80491987
Mobula mobular ;6.694785403;42.99158125
Mobula mobular ;6.8677158;42.9189529
Mobula mobular ;6.650019251;42.56794997
Mobula mobular ;6.135463854;42.73927247
Mobula mobular ;5.40492232;42.46448766
Mobula mobular ;7.233066782;43.04758607
Mobula mobular ;7.261014059;43.05251723
Mobula mobular ;6.54631298;42.5044646
Mobula mobular ;6.554759843;42.5058231
Mobula mobular ;7.043730821;43.2820243
Mobula mobular ;7.591978032;43.23972469
Mobula mobular ;7.517635915;43.22222197
Mobula mobular ;7.947561247;43.29276814
Mobula mobular ;6.762590641;42.90886989
Mobula mobular ;6.761095226;42.90831216
Mobula mobular ;6.763710715;42.90484787
Mobula mobular ;7.32215669;43.0840546
Mobula mobular ;7.345963139;43.0968562
Mobula mobular ;6.525389655;42.98707346
Mobula mobular ;8.61326;41.8814
Mobula mobular ;7.304303;43.684629
Mobula mobular ;8.11861;41.9366
Mobula mobular ;8.12138;41.835
Mobula mobular ;8.61611;41.6594
Mobula mobular ;8.47083;41.6335
Mobula mobular ;8.47083;41.6335
Mobula mobular ;8.47083;41.6335
Mobula mobular ;8.12194;41.6644
Mobula mobular ;8.157222;41.64916
Mobula mobular ;8.29555;41.7833
Mobula mobular ;8.27027;41.7719
Mobula mobular ;8.2933;41.7641
Mobula mobular ;8.3169;41.7655
Mobula mobular ;8.234722;41.5933
Mobula mobular ;8.23472;41.5933
Mobula mobular ;8.09525;41.5728
Mobula mobular ;8.08305;41.57268
Mobula mobular ;8.06111;41.8522
Mobula mobular ;8.078333;41.7533
Mobula mobular ;8.054722;41.8111
Mobula mobular ;7.96944;41.724
Mobula mobular ;8.00861;41.713
Mobula mobular ;8.267222;41.8169444
Mobula mobular ;8.113611;41.6847
Mobula mobular ;8.113611;41.6847
Mobula mobular ;8.35;41.6877778
Mobula mobular ;8.318888;41.94805
Mobula mobular ;8.318888;41.94805
Mobula mobular ;8.23805;41.8488
Mobula mobular ;8.285833;42.0377
Mobula mobular ;8.522222;41.71666
Mobula mobular ;7.5;43.4666
Mobula mobular ;7.32724;43.67162
Mobula mobular ;7.315016;43.689529
Mobula mobular ;7.5564444;43.454055
Mobula mobular ;7.38566;43.68119
Mobula mobular ;7.4815277;43.47652
Mobula mobular ;7.436166;43.54963
Mobula mobular ;9.62868;42.507267
Mobula mobular ;5.1722;43.3055
Mobula mobular ;8.584323;42.329209
Mobula mobular ;8.540832;41.017617
Mobula mobular ;7.484167;42.5886
Mobula mobular ;4.066944;43.536358
Mobula mobular ;5.6333;42.8667
Mobula mobular ;5.76666;43.0833
Mobula mobular ;5.9667;42.85
Mobula mobular ;5.7333;42.9
Mobula mobular ;5.6833;42.8166
Mobula mobular ;8.4208;41.9862
Mobula mobular ;8.479472;42.16305
Mobula mobular ;8.268327;42.2208
Mobula mobular ;8.702655;41.662223
Mobula mobular ;8.351766;42.20452
Mobula mobular ;5.6167;42.9
Mobula mobular ;5.667;42.9
Mobula mobular ;5.65;42.9
Mobula mobular ;5.666667;42.86667
Mobula mobular ;5.5;42.883
Mobula mobular ;7.0094;42.42694
Mobula mobular ;6.11467;42.8533
Mobula mobular ;5.4078;42.8342
Mobula mobular ;5.6151;42.8168
Mobula mobular ;5.726;42.8132
Mobula mobular ;5.696;42.8358
Mobula mobular ;5.6965;42.8334
Mobula mobular ;5.7013;42.826
Mobula mobular ;5.9093;42.9112
Mobula mobular ;7.106191;43.475625
Mobula mobular ;7.573888889;42.53666667
Mobula mobular ;8.3510975;42.3788181
Mobula mobular ;8.3017661;42.21111
Mobula mobular ;6.003551809;42.67559897
Mobula mobular ;5.526434602;42.92051072
Mobula mobular ;7.705647368;43.48033304
Mobula mobular ;6.662627645;42.91774519
Mobula mobular ;6.281791683;42.68476655
Mobula mobular ;7.130545964;43.31218377
Mobula mobular ;6.918452885;43.07079954
Mobula mobular ;6.860821769;43.10119199
Mobula mobular ;6.824458726;43.11708785
Mobula mobular ;7.101830821;42.91009981
Mobula mobular ;6.741137914;42.62711988
Mobula mobular ;5.989499297;42.89614867
Mobula mobular ;6.343504367;42.95651032
Mobula mobular ;6.465702374;42.29615868
Mobula mobular ;26.05658;40.10827
Mobula mobular ;16.57833;39.63694
Mobula mobular ;15.16535;37.28963
Mobula mobular ;25.848038;40.29534
Mobula mobular ;7.75;43.3333
Mobula mobular ;7.55;43.5333
Mobula mobular ;8.29;41.71194
Mobula mobular ;8.337222;41.7375
Mobula mobular ;8.449444;41.87777
Mobula mobular ;8.303889;42.21555
Mobula mobular ;8.303333;42.21138
Mobula mobular ;8.51;42.1941
Mobula mobular ;8.351388;42.2277
Mobula mobular ;8.351111;42.3797
Mobula mobular ;8.34722;42.255
Mobula mobular ;14.40944;40.58138
Mobula mobular ;17.49388;40.2975
Mobula mobular ;14.394166;40.58333
Mobula mobular ;8.6405555;41.985
Mobula mobular ;3.33611;42.6166
Mobula mobular ;9.45611;40.5813
Mobula mobular ;3.446111;42.71722
Mobula mobular ;5.327542;43.255967
Mobula mobular ;7.573888889;42.53666667
Mobula mobular ;9.058889;42.66277
Mobula mobular ;9.0589;42.661
Mobula mobular ;9.05888;41.66111
Mobula mobular ;7.298333;42.316944
Mobula mobular ;6.93;42.88
Mobula mobular ;7.13;42.92
Mobula mobular ;7.04;42.86
Mobula mobular ;7;42.9
Mobula mobular ;6.17;42.48
Mobula mobular ;6.43;42.48
Mobula mobular ;7.45;42.95
Mobula mobular ;5.98;42.62
Mobula mobular ;7.37;43.1
Mobula mobular ;7.5;43.2
Mobula mobular ;6.47;42.42
Mobula mobular ;5.97;42.58
Mobula mobular ;6;42.47
Mobula mobular ;7.57;43.12
Mobula mobular ;7.62;43.13
Mobula mobular ;7.02;42.98
Mobula mobular ;6.43;42.43
Mobula mobular ;6.87;42.95
Mobula mobular ;6.92;42.92
Mobula mobular ;6.15;42.65
Mobula mobular ;5.77;42.58
Mobula mobular ;7;42.72
Mobula mobular ;6.62;42.52
Mobula mobular ;6.25;42.65
Mobula mobular ;6.4;42.65
Mobula mobular ;6.42;42.67
Mobula mobular ;5.9;42.72
Mobula mobular ;6.13;42.53
Mobula mobular ;5.87;42.48
Mobula mobular ;5.83;42.57
Mobula mobular ;5.9;42.47
Mobula mobular ;5.92;42.45
Mobula mobular ;7.78;43.18
Mobula mobular ;6.23;42.52
Mobula mobular ;7.81;43.18
Mobula mobular ;8.05;43.13
Mobula mobular ;6.83;42.91
Mobula mobular ;6.41;42.35
Mobula mobular ;5.81;42.7
Mobula mobular ;5.78;42.66
Mobula mobular ;5.38;42.58
Mobula mobular ;7.68;43.03
Mobula mobular ;7.58;43.03
Mobula mobular ;5.38;42.65
Mobula mobular ;6.43;42.56
Mobula mobular ;7.85;43.25
Mobula mobular ;5.23;42.57
Mobula mobular ;5.21;42.57
Mobula mobular ;5.21;42.57
Mobula mobular ;5.23;42.57
Mobula mobular ;7.3778;42.4533
Prionace glauca ;3.24361;42.79556
Prionace glauca ;3.46722;42.89361
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.48944;43.30278
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.24944;42.81583
Prionace glauca ;3.24361;42.79556
Prionace glauca ;3.29806;43.19861
Prionace glauca ;3.32667;43.06861
Prionace glauca ;3.21278;42.80889
Prionace glauca ;3.48944;43.30278
Prionace glauca ;3.29806;43.19861
Prionace glauca ;3.3625;43.07056
Prionace glauca ;NA;NA
Prionace glauca ;3.65833;43.34333
Prionace glauca ;3.26528;43.37083
Prionace glauca ;3.195;42.59056
Prionace glauca ;3.20056;42.72306
Prionace glauca ;3.20056;42.72306
Prionace glauca ;3.39417;42.59861
Prionace glauca ;3.225;42.82083
Prionace glauca ;3.99972;43.25444
Prionace glauca ;NA;NA
Prionace glauca ;3.47417;42.88
Prionace glauca ;3.225;42.82083
Prionace glauca ;3.225;42.82083
Prionace glauca ;NA;NA
Prionace glauca ;3.43611;42.83417
Prionace glauca ;3.93694;43.34
Prionace glauca ;3.17278;42.635
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.43167;42.87972
Prionace glauca ;3.30528;43.11056
Prionace glauca ;10.64444;43.82278
Prionace glauca ;10.02306;43.77111
Prionace glauca ;10.03444;43.7675
Prionace glauca ;3.13056;42.79722
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;3.61194;42.88806
Prionace glauca ;3.47167;42.83694
Prionace glauca ;3.50639;42.62333
Prionace glauca ;3.34361;42.88694
Prionace glauca ;3.33722;43.73722
Prionace glauca ;3.56444;42.63083
Prionace glauca ;3.45472;42.71611
Prionace glauca ;3.53694;42.56333
Prionace glauca ;3.28361;42.72944
Prionace glauca ;3.08944;42.74472
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.23194;42.78556
Prionace glauca ;3.08944;42.74472
Prionace glauca ;3.20944;42.70417
Prionace glauca ;3.40639;42.77472
Prionace glauca ;3.40056;42.51889
Prionace glauca ;3.40639;42.85278
Prionace glauca ;3.15889;42.65056
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
Prionace glauca ;NA;NA
